           9           4
 -0.6000000E+01 -0.6000000E+01  0.0000000E+00
 -0.6000000E+01  0.0000000E+00  0.0000000E+00
 -0.6000000E+01  0.6000000E+01  0.0000000E+00
  0.0000000E+00 -0.6000000E+01  0.0000000E+00
  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.0000000E+00  0.6000000E+01  0.0000000E+00
  0.6000000E+01 -0.6000000E+01  0.0000000E+00
  0.6000000E+01  0.0000000E+00  0.0000000E+00
  0.6000000E+01  0.6000000E+01  0.0000000E+00
       1       2       5       4
       2       3       6       5
       4       5       8       7
       5       6       9       8
